Liczba zadañ: 50
Liczba przerw: 5
Czas trwania operacji i przerw: 1-300
Liczba instancji: 20

Wielkoœæ populacji: 200
Wspólczynnik mutacji: 1.0
L. kandydatów do turnieju: 30
L. zwyciêzców turnieju: 75
Wspó³czynnik podzia³u: 0.5
Liczba pokoleñ: 100
12575;8258;34,33
14353;9532;33,58
13883;9546;31,23
13706;9197;32,89
14334;10053;29,86
14291;9397;34,24
13810;9565;30,73
12918;8857;31,43
12527;8468;32,4
12704;8224;35,26
14356;10162;29,21
13423;9139;31,91
12988;8605;33,74
13473;9105;32,42
13367;8970;32,89
14287;9681;32,23
13167;8800;33,16
12944;9078;29,86
13581;9625;29,12
12572;8243;34,43
