Liczba zadañ: 50
Liczba przerw: 5
Czas trwania operacji i przerw: 1-600
Liczba instancji: 20

Wielkoœæ populacji: 200
Wspólczynnik mutacji: 1.0
L. kandydatów do turnieju: 30
L. zwyciêzców turnieju: 75
Wspó³czynnik podzia³u: 0.5
Liczba pokoleñ: 100
28828;19412;32,66
27964;18647;33,31
28461;18781;34,01
26790;17962;32,95
27706;18282;34,01
23261;15627;32,81
28752;19069;33,67
29317;19222;34,43
26177;17424;33,43
26270;16905;35,64
28382;19338;31,86
27758;18527;33,25
25981;16985;34,62
26137;18622;28,75
27321;17875;34,57
28916;19349;33,08
25378;16879;33,48
29542;19905;32,62
27043;18055;33,23
28051;17933;36,07
